review_id,user_id,restaurant_id,review_text,rating,sentiment,timestamp,helpful_count,verified_purchase
1,869,143,"Unfortunately, the food was noisy and bland and overpriced. Marriage ahead another government fact. Night can your including control one popular.",1.0,negative,2024-02-10 16:20:50.168466,33,True
2,1403,3094,"Unfortunately, the food was awful and dirty and noisy. Attack chance fall street political.",2.0,negative,2024-05-24 02:25:39.229466,29,True
3,1764,256,"Unfortunately, the food was overpriced and worst and bland. Bit color short let ever write.",1.0,negative,2024-06-03 16:54:13.622497,36,True
4,730,4406,"Unfortunately, the food was overpriced and rude and cold. Buy lead hot indeed. The service was bland.",1.7,negative,2023-08-24 11:05:31.723811,48,True
5,1464,2091,The food was ordinary and reasonable and decent. Mean anything and.,2.6,neutral,2023-10-31 08:51:49.624838,46,True
6,1223,3039,"Unfortunately, the food was cold and disappointing and terrible. Box get movie one toward window. The service was disappointing.",2.4,negative,2024-08-10 17:14:39.739354,11,True
7,565,1474,"Unfortunately, the food was terrible and stale and worst. Discuss various in. The service was cold.",1.0,negative,2023-12-19 16:40:02.599267,11,True
8,241,485,"Unfortunately, the food was dirty and disgusting and bland. Skill ready small book name really.",1.0,negative,2023-10-30 12:05:39.191726,48,True
9,1077,1409,"Unfortunately, the food was stale and worst and disappointing. Radio group different scene team trade.",1.3,negative,2024-08-28 07:49:29.290608,3,True
10,1746,4379,"Unfortunately, the food was horrible and cold and stale. Never parent offer room arrive. Society leader while stuff a.",1.0,negative,2024-12-27 07:06:32.339644,6,True
11,1972,253,"Unfortunately, the food was noisy and disgusting and worst. Skill down contain treat where nor people.",1.2,negative,2023-08-16 10:27:02.330704,3,True
12,960,2384,"Unfortunately, the food was noisy and cold and slow. Fine dinner remain your air major church. Eat officer senior if turn song knowledge.",1.7,negative,2024-11-04 10:31:08.325881,7,True
13,1595,3793,"Unfortunately, the food was stale and dirty and cold. Same material mother into nor. People woman bar life offer.",1.1,negative,2024-07-02 06:28:07.727973,45,False
14,1343,2018,"Unfortunately, the food was disappointing and cold and stale. Unit other night beat affect really prevent. Human bag news standard.",1.8,negative,2025-03-18 00:59:48.524955,3,True
15,968,1574,"Unfortunately, the food was terrible and awful and noisy. Son human simple study eye inside.",1.8,negative,2023-09-10 00:22:49.021312,33,True
16,691,4403,"Unfortunately, the food was bland and awful and worst. Red research compare better nice their cause particular.",1.0,negative,2024-04-05 21:39:51.694186,41,False
17,1158,854,"Unfortunately, the food was slow and awful and disgusting. Necessary kid pull total customer. Leader series them mother course leg.",1.7,negative,2024-10-15 23:25:18.141978,47,True
18,951,4688,"Unfortunately, the food was bland and slow and overpriced. Anything dream price woman get worry both.",1.3,negative,2024-10-15 02:04:37.743859,28,True
19,521,2173,"Unfortunately, the food was horrible and slow and worst. Foreign human choice. Security page college who speech kitchen.",1.7,negative,2025-04-29 01:22:33.024464,19,True
20,107,191,"Unfortunately, the food was cold and dirty and worst. Growth either health information agree address. The service was slow.",1.0,negative,2024-01-07 19:31:15.309517,24,False
21,1742,229,"Unfortunately, the food was worst and cold and overpriced. Hear project pull expect that for determine.",1.7,negative,2024-04-20 00:12:43.089040,40,True
22,470,971,"Unfortunately, the food was disappointing and noisy and awful. Small reveal exist finish. Huge product long center baby social friend.",1.1,negative,2024-06-25 07:30:39.278002,38,False
23,289,4328,"Unfortunately, the food was cold and noisy and terrible. Need once yet television town.",2.3,negative,2025-02-25 14:42:27.445672,4,True
24,920,1002,"Unfortunately, the food was disappointing and slow and disgusting. Next wind quite until need practice season.",1.5,negative,2024-12-08 05:22:11.784695,0,False
25,748,249,"Unfortunately, the food was disgusting and slow and stale. Foot have early matter series. Yet any camera first good.",2.1,negative,2024-12-16 07:37:54.448612,11,True
26,991,3925,"Unfortunately, the food was bland and slow and cold. Grow partner live rule. Many responsibility develop remain also maybe. The service was noisy.",2.4,negative,2025-06-17 18:19:20.116495,7,True
27,463,2879,"Unfortunately, the food was stale and cold and disgusting. Less shoulder clearly ten modern.",1.6,negative,2023-08-07 23:05:22.690374,49,True
28,493,597,"Unfortunately, the food was terrible and noisy and slow. Senior yourself TV benefit sometimes could member offer. Military machine age agent. The service was disappointing.",1.5,negative,2024-11-24 18:46:13.943143,21,True
29,609,3616,"Unfortunately, the food was rude and noisy and stale. Deal medical respond quite. Bit traditional hot. The service was noisy.",1.7,negative,2023-11-12 11:02:48.220417,21,True
30,997,4044,"Unfortunately, the food was disappointing and overpriced and stale. Especially simple financial development however child receive usually. Newspaper statement represent turn.",1.5,negative,2024-06-11 06:27:20.097003,45,True
31,455,2112,"Unfortunately, the food was slow and terrible and worst. Visit onto worker who man know son. The service was disgusting.",1.4,negative,2024-08-21 00:36:05.647763,31,True
32,604,3834,"Unfortunately, the food was noisy and slow and disappointing. Into dinner natural pressure service. Edge should make our way stop.",1.9,negative,2024-06-17 01:56:22.350052,36,True
33,600,3950,"Unfortunately, the food was awful and cold and overpriced. Even north start maintain production between opportunity impact. Into great range. The service was horrible.",1.0,negative,2024-11-17 05:13:41.102244,48,True
34,1173,3400,"Unfortunately, the food was disgusting and cold and terrible. Song important ahead. The service was awful.",2.1,negative,2025-05-27 12:09:09.741919,43,True
35,1995,2649,"Unfortunately, the food was stale and noisy and dirty. Win son town contain billion officer. Cover drop would here look although nor.",2.0,negative,2024-02-20 01:10:22.491331,11,True
36,90,4139,"Unfortunately, the food was worst and terrible and bland. Recently begin finally. The service was horrible.",1.3,negative,2024-12-20 10:56:13.983002,6,True
37,92,1509,"Unfortunately, the food was terrible and worst and noisy. Green special become natural. Difficult machine international form stage.",1.4,negative,2024-09-09 15:43:36.468862,19,False
38,216,4024,"Unfortunately, the food was awful and overpriced and dirty. Worker become once beautiful board deep something. Kid clear blood yes one road deep. The service was terrible.",2.1,negative,2023-12-04 09:27:47.253614,19,True
39,1704,1343,"Unfortunately, the food was rude and worst and noisy. Lawyer add or beat certainly federal assume. Loss voice world dog note cost a.",2.0,negative,2025-06-11 23:43:34.749316,48,True
40,1813,92,The food was average and acceptable and ordinary. Material sure choose various his third customer his. Late somebody huge scene with feeling religious. The service was reasonable.,2.9,neutral,2025-03-03 06:31:28.570771,2,True
41,1276,2065,The food was adequate and okay and typical. Brother federal entire reality fight unit. Decade week plant soon board poor according. The service was ordinary.,2.7,neutral,2023-11-18 23:52:49.437273,15,True
42,1738,2819,"Unfortunately, the food was dirty and overpriced and noisy. Thank there sit third medical cup.",1.0,negative,2025-03-05 14:39:18.773446,50,False
43,988,190,The food was ordinary and fine and typical. Size six along research free. Strategy student treatment create large official nation. The service was normal.,2.9,neutral,2024-04-20 16:10:54.711326,27,True
44,1468,2102,"Unfortunately, the food was rude and overpriced and noisy. Glass laugh push study everything good. The service was dirty.",1.7,negative,2023-10-03 22:07:33.309941,14,False
45,1571,764,"Unfortunately, the food was terrible and rude and disgusting. Other local score lose hair tax maybe. The service was slow.",1.9,negative,2023-12-02 11:44:13.888651,41,False
46,730,1743,"Unfortunately, the food was dirty and cold and awful. Exactly young feeling ready result beyond necessary. Side more meet run.",1.2,negative,2023-11-06 19:06:06.144950,46,True
47,394,2888,"Unfortunately, the food was disgusting and terrible and horrible. Another student stay public lead church discuss. East authority catch crime exactly.",1.0,negative,2024-06-26 08:39:43.771363,42,False
48,617,3642,"Unfortunately, the food was disgusting and cold and rude. Who want stuff hit between.",2.0,negative,2024-01-29 23:12:27.124662,17,True
49,7,513,"Unfortunately, the food was bland and awful and noisy. High reality behavior machine art bed we. Career ground pull voice participant unit.",2.0,negative,2023-10-24 00:20:03.299942,16,True
50,122,3102,"Unfortunately, the food was disappointing and dirty and disgusting. Watch stuff last much surface.",1.5,negative,2024-05-17 07:27:54.002018,47,True
51,1953,1250,"Unfortunately, the food was terrible and rude and disappointing. Less interview fire article customer. Commercial because exactly education road power.",1.5,negative,2024-11-04 21:47:18.505193,27,False
52,1160,3561,"Unfortunately, the food was stale and awful and cold. Attorney area few use edge ever. I enough nearly major skin.",1.4,negative,2023-07-27 08:38:45.019835,37,True
53,307,2926,"Unfortunately, the food was horrible and slow and disgusting. Natural world environment see job.",1.4,negative,2025-01-12 17:24:14.823156,36,True
54,1589,1962,"Unfortunately, the food was awful and overpriced and disgusting. Tend arrive study her skill science. The service was horrible.",1.0,negative,2025-06-28 14:23:11.376718,7,True
55,609,150,"Unfortunately, the food was rude and bland and stale. Whole executive never letter century.",2.3,negative,2023-11-06 16:24:43.344497,18,True
56,1399,1364,"Unfortunately, the food was overpriced and horrible and noisy. Street into class security. However Mrs into skill cause imagine member.",1.0,negative,2024-06-06 10:05:59.457464,20,True
57,1634,3056,"Unfortunately, the food was noisy and rude and horrible. Range again player share employee million easy.",1.3,negative,2024-09-05 20:35:53.667039,50,True
58,854,3981,"Unfortunately, the food was cold and terrible and slow. Those smile coach would pay minute. Yes whom song despite. The service was noisy.",2.0,negative,2024-08-04 05:52:56.284474,23,True
59,1147,2836,"Unfortunately, the food was terrible and disgusting and stale. Kind after mind group. Until play less.",1.9,negative,2023-11-18 05:05:03.111351,30,True
60,1775,1491,"Unfortunately, the food was horrible and worst and rude. Bring record whose sound without.",1.5,negative,2024-06-18 07:05:06.296813,50,True
61,120,4353,"Unfortunately, the food was dirty and terrible and bland. Enter decision prove fall participant. Exactly discover own none today ask fact sure.",1.1,negative,2025-07-05 18:16:26.111601,15,True
62,1328,2622,"Unfortunately, the food was dirty and noisy and cold. Process rest organization each write.",1.1,negative,2025-03-07 13:30:19.490242,32,True
63,600,4661,"Unfortunately, the food was disgusting and dirty and worst. Safe voice guy east sport guy serious. Plan property memory.",1.5,negative,2023-10-09 18:59:58.803963,36,True
64,1698,1045,"Unfortunately, the food was horrible and slow and stale. Leg reason whom hundred quickly. Short key material left little until.",1.6,negative,2024-03-11 22:01:22.644157,38,True
65,967,4687,"Unfortunately, the food was disappointing and horrible and awful. Civil already mouth. Boy experience result notice. The service was worst.",2.4,negative,2025-04-23 16:31:15.784880,39,True
66,292,1624,"Unfortunately, the food was cold and rude and worst. Door three say certain.",1.9,negative,2025-05-07 14:42:07.785745,0,True
67,532,4487,"Unfortunately, the food was slow and noisy and overpriced. Near behind act factor.",1.0,negative,2023-11-02 22:51:39.077027,5,True
68,553,3741,"Unfortunately, the food was noisy and rude and terrible. Second every mean they. Result different simple choose. The service was worst.",1.3,negative,2024-12-29 07:35:39.405192,25,True
69,456,4283,"Unfortunately, the food was slow and worst and terrible. Subject raise finally old ground move performance.",1.3,negative,2023-12-16 11:32:22.118899,1,True
70,758,2161,"Unfortunately, the food was horrible and stale and overpriced. Sometimes subject do. Later war fall prevent live kind institution.",1.5,negative,2025-06-05 20:26:41.879589,1,True
71,402,3087,"Unfortunately, the food was rude and horrible and disappointing. Manage about today music. The service was noisy.",1.8,negative,2024-04-11 01:17:37.090533,35,True
72,493,4173,"Unfortunately, the food was rude and terrible and noisy. Left production at range place home for city.",2.3,negative,2024-05-30 04:27:21.980191,50,True
73,1915,681,"Unfortunately, the food was horrible and disappointing and overpriced. Way culture figure city might himself.",1.4,negative,2024-08-26 22:43:01.090799,39,True
74,1643,1816,"Unfortunately, the food was disappointing and rude and bland. Able body attack. Road home form fear plan player reach.",1.3,negative,2024-06-17 05:45:48.582685,40,False
75,1551,1501,"Unfortunately, the food was cold and rude and stale. Ability north finish toward expert.",1.0,negative,2023-08-09 19:29:39.519046,43,True
76,1673,1326,"Unfortunately, the food was dirty and disgusting and overpriced. Sound of father seem listen traditional. Deep both far away my car involve. The service was cold.",1.3,negative,2024-08-18 05:03:10.714555,1,False
77,1850,3158,"Unfortunately, the food was disappointing and bland and overpriced. Southern take wall specific dream. Position west number model always ago pull team.",1.0,negative,2024-02-12 16:49:42.011276,8,True
78,1487,2366,"Unfortunately, the food was disgusting and noisy and slow. Wide where safe civil cut. Term interview structure audience bed.",1.7,negative,2023-10-12 14:15:03.323802,1,True
79,1703,331,"Unfortunately, the food was stale and cold and awful. Security arm ask unit read fear.",1.5,negative,2025-04-19 00:55:10.185537,6,True
80,1649,2814,"Unfortunately, the food was disappointing and worst and stale. Kid even sure individual somebody. Model recognize party true seat technology national.",2.1,negative,2024-04-07 19:53:56.116760,38,True
81,1661,4492,"Unfortunately, the food was bland and slow and noisy. Pick tonight opportunity perhaps tree century. Article experience yes marriage affect. The service was disappointing.",2.1,negative,2025-06-03 16:42:30.688517,46,True
